,0813title,0813code,webtoon_from_kor,author,ending_Y/N,주2회연재
56,Winter Moon,1093,,,,
57,Not So Shoujo Love Story,2189,,,,
58,Adventures of God,853,,,,
59,Unwritten Death,3201,,,,
60,Romance 101,2406,바른연애 길잡이,남수,N,703852
62,My Younger Brother's Friend,3163,,,,
63,Live with Yourself!,919,,,,
64,Murrz,1281,,,,
65,Neolithic Girl,2851,신석기녀,재아 / 한가람,Y,
66,REAWAKENED MAN,3173,,,,
67,Her Mannequin,2875,,,,
68,The Wolfman of Wulvershire,1784,,,,
69,It Was All You,2675,,,,
70,The Sound of Another,2955,,,,
71,The Hip Guy,2577,,,,
72,My Roommate is a Gumiho,2611,간떨어지는 동거,나,Y,
73,Stagtown,2532,,,,
74,From Morning to Night,3207,,,,
75,The Dog Diaries,3041,,,,
76,Small World,1159,,,,
77,Nothing Special,1188,,,,
78,Da Yomanville Gang,1578,,,,
79,Zero Game,1704,제로게임,즐바센,N,676695
80,The Savior's Time,2608,,,,
81,Lavender Jack,1410,,,,
82,Pound,1496,,,,
83,Supersonic Girl,633,,,,
84,Little Matcha Girl,1665,,,,
85,Boyfriend of the Dead,1102,,,,
86,Skye,2234,,,,
87,Watermelon,1435,,,,
88,BRAIN Anthology,2207,,,,
89,Luggage,1642,,,,
90,True Beauty,1436,여신강림,야옹이,N,703846
91,Age Matters,1364,,,,
92,Teenage Mercenary,2677,,,,
93,School Bus Graveyard,2705,,,,
94,Omniscient Reader,2154,전지적 독자 시점,"싱숑,UMI / 슬리피-C",N,747269
95,Phase,2117,,,,
96,Love Me Knot,2224,,,,
97,My Giant Nerd Boyfriend,958,,,,
98,Swimming Lessons for a Mermaid,1912,인어를 위한 수영 교실,용찬,Y,
99,Everywhere & Nowhere,1598,,,,
100,Lady Knight,2727,,,,
101,Bluechair,199,,,,
102,The Prince of Southland,2522,,,,
103,Rebirth,1412,,,,
104,Infinite Leveling: Murim,2676,,,,
105,Heavenly Roommates,3208,,,,
106,A Summer Night's Dream,2956,,,,
107,Safely Endangered,352,,,,
108,Finding Wonderland,2704,,,,
109,Neon Revenge,2510,,,,
110,Of Swamp & Sea,2736,,,,
111,The Girl Downstairs,1809,이두나!,민송아,N,731130
112,When the Day Comes,2620,,,,
113,Maya's World,3200,,,,
114,Fast Forward,2764,빨리감기,포르토 / 홍준기,N,764040
115,Crown of Feathers,2126,,,,
116,Fluidum,2283,,,,
117,DICE,64,다이스,윤현석,Y,
118,Warrior of the Wild,2701,,,,
119,Spirit Hunter,3185,,,,
120,Love Falls Like Rain,2856,,,,
121,Garden Club Detective Squad,2410,텃밭부 사건일지,오이츄,Y,
122,The Masked Fables,2384,,,,
123,Elf & Warrior,908,,,,
124,SOLEIL,1823,,,,
125,Deadlove,2460,,,,
126,Bloodless Wars,1622,,,,
127,The World Where I Belong,1318,,,,
128,Denma,921,덴마,양영순,Y,
129,Unlucky is as Lucky does,1554,,,,
130,The Red Hook: Blackout,2282,,,,
131,Outrage,1450,,,,
132,HEART Anthology,2191,,,,
133,BRAIN Anthology,2207,,,,
134,Soul on Hold,1701,,,,
135,In the Bleak Midwinter;,1946,,,,
136,Darbi,1098,,,,
137,The Devil is a Handsome Man,1311,,,,
138,Backchannel,1456,,,,
139,Mage & Demon Queen,1438,,,,
140,Unholy Blood,1262,화이트 블러드,임리나,N,739503
141,The Boxer,2027,더 복서,정지훈,N,736989
142,Jungle Juice,2480,정글쥬스,형은 / 쥬더,N,762279
143,See You in My 19th Life,1266,이번 생도 잘 부탁해,이혜,N,746858
144,Brass & Sass,1652,,,,
145,The Princess's Jewels,2966,,,,
146,Weak Hero,1726,약한영웅,서패스 / 김진석,N,710751
147,Shotgun Boy,2534,엽총소년,김칸비 / 홍필,N,759925
148,Act Like You Love Me!,2521,,,,
149,When Jasy Whistles,2721,,,,
151,The Witch and The Bull,1892,,,,
152,Happily Ever Afterwards,2737,,,,
153,AntiSTALKER,2087,,,,
154,Surviving Romance,2607,,,,
155,"God, Please Make Me a Demon! ",3198,,,,
156,Shadow Bride,2618,,,,
157,Tenants from Another World,3042,,,,
158,She Would Never Know,2508,,,,
159,Murrz,1281,,,,
160,Parallel City,2053,평행도시,고다,N,730607
161,The Double Agent,3209,,,,
162,Escape Room,1815,방탈출,십박,N,733034
163,CARL,1216,,,,
164,Pyramid Game,2277,피라미드 게임,달꼬냑,N,739127
165,Kind of Confidential,663,,,,
166,"Take Me, I'm Yours",2833,,,,
167,Just Pancakes,1651,,,,
168,A Man's Man,2876,,,,
169,Gecko Chan,2717,,,,
170,Beetle Hands,2247,,,,
172,ROB,2479,,,,
173,unOrdinary,679,,,,
174,City of Blank,1895,,,,
175,Simon Sues,1619,,,,
176,Space Boy,400,,,,
177,My Dictator Boyfriend,1391,,,,
178,The Red King,1687,,,,
179,HEART Anthology,2191,,,,
180,BRAIN Anthology,2207,,,,
181,Unlovable Replacement,1762,,,,
